Mask_Type,Mask_Flag,Total_Queries,Faces_Processed,No_Face_Detected,Total_TP,Total_FP,Total_TN,Total_FN,Accuracy_Pct,Precision_Pct,Recall_Pct,F1_Score,TPR_Pct,FPR_Pct,Threshold,Avg_Time_Per_Image_MS
Surgical Mask,SUR,228,228,0,228,0,0,0,100.0,100.0,100.0,1.0,100.0,0.0,0.35,279.83
N95 Mask,N95,228,227,1,227,0,0,1,99.56,100.0,99.56,0.9978,99.56,0.0,0.35,281.59
KN95 Mask,K95,228,227,1,227,0,0,1,99.56,100.0,99.56,0.9978,99.56,0.0,0.35,281.96
Cloth Mask,CLT,227,226,1,225,1,0,1,99.12,99.56,99.56,0.9956,99.56,100.0,0.35,280.51
Gas Mask,GAS,227,224,3,224,0,0,3,98.68,100.0,98.68,0.9933,98.68,0.0,0.35,278.68
Unmasked,NONE,4630,3262,1368,0,16,4614,0,99.65,0.0,0.0,0.0,0.0,0.35,0.35,252.52
OVERALL_TOTAL,ALL,5768,4394,1374,1131,17,4614,6,99.6,98.52,99.47,0.9899,99.47,0.37,0.35,351.1
